FILENUMBER,LATITUDE,LONGITUDE,FCYEAR,GLOBALID
011762003,39.79327796,-104.82327346,2003,{00000000-0000-0000-0000-000000000000}
011992003,39.69534385,-105.03241834,2003,{00000000-0000-0000-0000-000000000000}
012122003,39.79418002,-104.81960198,2003,{00000000-0000-0000-0000-000000000000}
012222003,39.7882363,-104.80400265,2003,{00000000-0000-0000-0000-000000000000}
012442003,39.64041727,-104.88552116,2003,{00000000-0000-0000-0000-000000000000}
012542003,39.76954788,-105.00849471,2003,{00000000-0000-0000-0000-000000000000}
012622003,39.7733128,-104.73803985,2003,{00000000-0000-0000-0000-000000000000}
012732003,39.69099841,-105.04992797,2003,{00000000-0000-0000-0000-000000000000}
013152003,39.71029967,-105.04468344,2003,{00000000-0000-0000-0000-000000000000}
013402003,39.75676146,-104.97238097,2003,{00000000-0000-0000-0000-000000000000}
013702003,39.70884249,-104.89005381,2003,{00000000-0000-0000-0000-000000000000}
025962003,39.77475987,-104.76169613,2003,{00000000-0000-0000-0000-000000000000}
023892003,39.73898681,-104.96811817,2003,{00000000-0000-0000-0000-000000000000}
023912003,39.78464968,-105.03369476,2003,{00000000-0000-0000-0000-000000000000}
023922003,39.76866301,-104.92904393,2003,{00000000-0000-0000-0000-000000000000}
023932003,39.66264638,-105.01607676,2003,{00000000-0000-0000-0000-000000000000}
023942003,39.70523947,-105.03938765,2003,{00000000-0000-0000-0000-000000000000}
023962003,39.71451249,-105.03763628,2003,{00000000-0000-0000-0000-000000000000}
023982003,39.68501929,-105.02070795,2003,{00000000-0000-0000-0000-000000000000}
024002003,39.76354337,-104.93404048,2003,{00000000-0000-0000-0000-000000000000}
024012003,39.63758025,-105.07277202,2003,{00000000-0000-0000-0000-000000000000}
024032003,39.7824772,-104.98038472,2003,{00000000-0000-0000-0000-000000000000}
024052003,39.6639863,-105.06901179,2003,{00000000-0000-0000-0000-000000000000}
024062003,39.77981727,-104.75718644,2003,{00000000-0000-0000-0000-000000000000}
024072003,39.71203533,-104.94396463,2003,{00000000-0000-0000-0000-000000000000}
024102003,39.69896038,-105.04490927,2003,{00000000-0000-0000-0000-000000000000}
024112003,39.74457697,-104.89200558,2003,{00000000-0000-0000-0000-000000000000}
024132003,39.78709827,-104.83557981,2003,{00000000-0000-0000-0000-000000000000}
024142003,39.78237909,-105.0099018,2003,{00000000-0000-0000-0000-000000000000}
022192003,39.70617348,-104.86924472,2003,{00000000-0000-0000-0000-000000000000}
022432003,39.72619395,-104.99368798,2003,{00000000-0000-0000-0000-000000000000}
022612003,39.68393634,-105.01639443,2003,{00000000-0000-0000-0000-000000000000}
022692003,39.74464833,-104.89081588,2003,{00000000-0000-0000-0000-000000000000}
022902003,39.74212942,-104.88969558,2003,{00000000-0000-0000-0000-000000000000}
023322003,39.72154741,-105.03898227,2003,{00000000-0000-0000-0000-000000000000}
023542003,39.65721475,-105.02454611,2003,{00000000-0000-0000-0000-000000000000}
023802003,39.74226766,-105.02799107,2003,{00000000-0000-0000-0000-000000000000}
023972003,39.7946473,-104.81654417,2003,{00000000-0000-0000-0000-000000000000}
024082003,39.76020406,-104.95402397,2003,{00000000-0000-0000-0000-000000000000}
024382003,39.69349651,-105.0018707,2003,{00000000-0000-0000-0000-000000000000}
024512003,39.73895813,-105.03066919,2003,{00000000-0000-0000-0000-000000000000}
026252003,39.70736188,-105.01603888,2003,{00000000-0000-0000-0000-000000000000}
025352003,39.77797455,-104.98327355,2003,{00000000-0000-0000-0000-000000000000}
025372003,39.67116619,-105.03020987,2003,{00000000-0000-0000-0000-000000000000}
025382003,39.72586637,-105.03541818,2003,{00000000-0000-0000-0000-000000000000}
025392003,39.68422606,-105.01029038,2003,{00000000-0000-0000-0000-000000000000}
025422003,39.73948831,-104.88497512,2003,{00000000-0000-0000-0000-000000000000}
025432003,39.77237376,-105.01322652,2003,{00000000-0000-0000-0000-000000000000}
026282003,39.68558458,-105.00829335,2003,{00000000-0000-0000-0000-000000000000}
026292003,39.78228928,-104.98321391,2003,{00000000-0000-0000-0000-000000000000}
026312003,39.78214164,-104.98091874,2003,{00000000-0000-0000-0000-000000000000}
026322003,39.66179372,-105.07265623,2003,{00000000-0000-0000-0000-000000000000}
026332003,39.715668,-104.985377,2003,{00000000-0000-0000-0000-000000000000}
026342003,39.71573589,-104.9853755,2003,{00000000-0000-0000-0000-000000000000}
026362003,39.74240934,-104.89958345,2003,{00000000-0000-0000-0000-000000000000}
026382003,39.71451957,-105.03578396,2003,{00000000-0000-0000-0000-000000000000}
026392003,39.76874276,-104.9643998,2003,{00000000-0000-0000-0000-000000000000}
026402003,39.70884249,-104.89005381,2003,{00000000-0000-0000-0000-000000000000}
026422003,39.68292658,-105.04030865,2003,{00000000-0000-0000-0000-000000000000}
026432003,39.75482864,-104.94729528,2003,{00000000-0000-0000-0000-000000000000}
026522003,39.75966215,-105.0311453,2003,{00000000-0000-0000-0000-000000000000}
026542003,39.69935253,-105.01074956,2003,{00000000-0000-0000-0000-000000000000}
026562003,39.73921722,-105.03322434,2003,{00000000-0000-0000-0000-000000000000}
025472003,39.70336564,-105.04690857,2003,{00000000-0000-0000-0000-000000000000}
025482003,39.79689927,-104.83731109,2003,{00000000-0000-0000-0000-000000000000}
025492003,39.72060473,-105.04244941,2003,{00000000-0000-0000-0000-000000000000}
025462003,39.69264688,-104.9433184,2003,{00000000-0000-0000-0000-000000000000}
006962003,39.75558993,-104.92493323,2003,{00000000-0000-0000-0000-000000000000}
019022003,39.70697911,-105.02871675,2003,{00000000-0000-0000-0000-000000000000}
019032003,39.77656257,-104.76295081,2003,{00000000-0000-0000-0000-000000000000}
019052003,39.76418887,-104.95540014,2003,{00000000-0000-0000-0000-000000000000}
020432003,39.7463386,-104.99677918,2003,{00000000-0000-0000-0000-000000000000}
020462003,39.75165068,-104.93644865,2003,{00000000-0000-0000-0000-000000000000}
025312003,39.78095007,-104.98718886,2003,{00000000-0000-0000-0000-000000000000}
025322003,39.72386927,-105.04239732,2003,{00000000-0000-0000-0000-000000000000}
025332003,39.6641711,-105.01887592,2003,{00000000-0000-0000-0000-000000000000}
026202003,39.70011628,-105.04517622,2003,{00000000-0000-0000-0000-000000000000}
026212003,39.73603528,-104.96912551,2003,{00000000-0000-0000-0000-000000000000}
026222003,39.76635742,-104.9739949,2003,{00000000-0000-0000-0000-000000000000}
026232003,39.78761638,-105.00961372,2003,{00000000-0000-0000-0000-000000000000}
026572003,39.78033054,-104.83086086,2003,{00000000-0000-0000-0000-000000000000}
026582003,39.78909742,-104.80543784,2003,{00000000-0000-0000-0000-000000000000}
026592003,39.71691843,-105.04850197,2003,{00000000-0000-0000-0000-000000000000}
026102003,39.77858585,-105.02095189,2003,{00000000-0000-0000-0000-000000000000}
026122003,39.79277819,-104.81486462,2003,{00000000-0000-0000-0000-000000000000}
026132003,39.74139306,-104.91317658,2003,{00000000-0000-0000-0000-000000000000}
026142003,39.61745388,-105.09570536,2003,{00000000-0000-0000-0000-000000000000}
026152003,39.73917033,-105.03899683,2003,{00000000-0000-0000-0000-000000000000}
026172003,39.68632059,-104.89955207,2003,{00000000-0000-0000-0000-000000000000}
024392003,39.75554431,-104.95451246,2003,{00000000-0000-0000-0000-000000000000}
024412003,39.67317114,-104.87364416,2003,{00000000-0000-0000-0000-000000000000}
024422003,39.76660405,-104.92314529,2003,{00000000-0000-0000-0000-000000000000}
024452003,39.7764067,-104.75748133,2003,{00000000-0000-0000-0000-000000000000}
024462003,39.69483732,-105.05220743,2003,{00000000-0000-0000-0000-000000000000}
024472003,39.75335939,-104.99854019,2003,{00000000-0000-0000-0000-000000000000}
024482003,39.65821872,-104.88578022,2003,{00000000-0000-0000-0000-000000000000}
024492003,39.70348555,-105.05253795,2003,{00000000-0000-0000-0000-000000000000}
024522003,39.77687466,-104.76703794,2003,{00000000-0000-0000-0000-000000000000}
024532003,39.70780406,-105.03470183,2003,{00000000-0000-0000-0000-000000000000}
024542003,39.68977142,-105.007282,2003,{00000000-0000-0000-0000-000000000000}
024552003,39.71777959,-105.02169542,2003,{00000000-0000-0000-0000-000000000000}
024572003,39.76025957,-104.95943153,2003,{00000000-0000-0000-0000-000000000000}
024582003,39.76346549,-104.95455907,2003,{00000000-0000-0000-0000-000000000000}
024592003,39.7275149,-104.98029869,2003,{00000000-0000-0000-0000-000000000000}
024602003,39.72821827,-104.99786582,2003,{00000000-0000-0000-0000-000000000000}
024622003,39.66241898,-105.01841801,2003,{00000000-0000-0000-0000-000000000000}
024632003,39.78649274,-105.0053489,2003,{00000000-0000-0000-0000-000000000000}
024652003,39.73237479,-105.03183324,2003,{00000000-0000-0000-0000-000000000000}
024662003,39.73549653,-104.95828482,2003,{00000000-0000-0000-0000-000000000000}
024982003,39.72226379,-104.99160942,2003,{00000000-0000-0000-0000-000000000000}
024992003,39.7390252,-105.03066989,2003,{00000000-0000-0000-0000-000000000000}
025042003,39.66613712,-105.06987633,2003,{00000000-0000-0000-0000-000000000000}
025052003,39.69054099,-104.91581805,2003,{00000000-0000-0000-0000-000000000000}
025082003,39.7421367,-104.89605664,2003,{00000000-0000-0000-0000-000000000000}
025092003,39.71091632,-104.97722681,2003,{00000000-0000-0000-0000-000000000000}
025102003,39.71916613,-104.99722252,2003,{00000000-0000-0000-0000-000000000000}
025112003,39.7118149,-105.03280123,2003,{00000000-0000-0000-0000-000000000000}
025142003,39.7844451,-104.83979956,2003,{00000000-0000-0000-0000-000000000000}
025152003,39.75467329,-104.95451727,2003,{00000000-0000-0000-0000-000000000000}
025162003,39.74562043,-104.97843023,2003,{00000000-0000-0000-0000-000000000000}
025172003,39.69380037,-105.0452215,2003,{00000000-0000-0000-0000-000000000000}
025182003,39.74431777,-104.96257404,2003,{00000000-0000-0000-0000-000000000000}
025212003,39.69622822,-104.90975493,2003,{00000000-0000-0000-0000-000000000000}
025232003,39.76783748,-104.9278554,2003,{00000000-0000-0000-0000-000000000000}
025242003,39.74639183,-104.89019871,2003,{00000000-0000-0000-0000-000000000000}
025252003,39.73456485,-104.96313627,2003,{00000000-0000-0000-0000-000000000000}
025282003,39.78206784,-104.7485437,2003,{00000000-0000-0000-0000-000000000000}
025302003,39.77774214,-105.02251217,2003,{00000000-0000-0000-0000-000000000000}
024682003,39.76392673,-104.96255565,2003,{00000000-0000-0000-0000-000000000000}
008902003,39.72111192,-104.99359321,2003,{00000000-0000-0000-0000-000000000000}
009112003,39.69890204,-104.87495346,2003,{00000000-0000-0000-0000-000000000000}
009192003,39.74091317,-104.95044655,2003,{00000000-0000-0000-0000-000000000000}
